approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.2857142857142857,0.2857142857142857,0.0,0,0,0,34,34,0.0,0,8,0.0,42,12,30,0.2857142857142857,0.2857142857142857,0,22,8,1.0,0.7142857142857143,34,154,0,3.6666666666666665,4,4,8,6.550000398419797e-05,0.00015809999604243785,0.00022360000002663583,0.0037642856200580444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.2857142857142857,0.2777777777777778,0.007936507936507908,6,0,6,34,28,0.17647058823529413,6,8,0.75,36,10,26,0.2777777777777778,0.2777777777777778,0,20,6,1.0,0.7222222222222222,28,124,0,3.4444444444444446,4,4,8,6.550000398419797e-05,0.00013110000145388767,0.00019660000543808565,0.0036416667070524353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.2857142857142857,0.2857142857142857,0.0,7,7,0,34,41,0.20588235294117646,7,8,0.875,49,14,35,0.2857142857142857,0.2857142857142857,0,27,8,1.0,0.7142857142857143,41,185,4,3.7755102040816326,4,4,8,6.550000398419797e-05,0.00022639999951934442,0.0002919000035035424,0.004620408153456009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.2,1,org:group,baseline,none,0.0,2,0.25,0.6295518207282913,0.6295518207282913,0.0,0,0,0,34,34,0.0,0,8,0.0,34,,19,0.6295518207282913,0.4411764705882353,,,,0.696969696969697,0.06741787624140572,34,35,17,,,,,0.0005177999992156401,0.0007869000037317164,0.0013047000029473566,0.02314411775681519,token_replay,distributed,alpha,alpha,{},5,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,15,0,51,42,22,13,15,17,26,34
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,deletion,0.2,2,0.25,0.6295518207282913,0.6098484848484849,0.01970333587980644,6,0,6,34,28,0.17647058823529413,6,8,0.75,28,,17,0.6098484848484849,0.39285714285714285,,,,0.696969696969697,0.08712121212121215,28,30,13,,,,,0.0005177999992156401,0.0006922999964444898,0.00121009999566013,0.024724999873017493,token_replay,distributed,alpha,alpha,{},5,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,11,0,44,33,21,10,11,13,23,28
distributed_tbr,artificial_log.xes,0.2,1,org:group,manipulated,insertion,0.2,2,0.25,0.6295518207282913,0.59966838614591,0.029883434582381296,7,7,0,34,41,0.20588235294117646,7,8,0.875,41,,25,0.59966838614591,0.3902439024390244,,,,0.696969696969697,0.09730131082378701,41,45,18,,,,,0.0005177999992156401,0.0011326000021654181,0.0016504000013810582,0.027624390296717514,token_replay,distributed,alpha,alpha,{},5,4,9,4,0,4,4,0,[],0,[],1.0,4,1,3,9,1,1,4,16,0,59,46,28,15,16,18,33,41
checkmyflow,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.7096774193548387,0.7096774193548387,0.0,0,0,0,25,25,0.0,0,6,0.0,31,22,9,0.7096774193548387,0.7096774193548387,0,8,1,1.0,0.29032258064516125,25,113,0,3.6451612903225805,4,4,16,8.399999933317304e-05,0.0003212000010535121,0.00040520000038668513,0.010361290356564907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,deletion,0.2,2,0.25,0.7096774193548387,0.7037037037037037,0.005973715651135025,4,0,4,25,21,0.16,4,6,0.6666666666666666,27,19,8,0.7037037037037037,0.7037037037037037,0,6,2,1.0,0.2962962962962963,21,93,0,3.4444444444444446,4,4,16,8.399999933317304e-05,0.00018269999418407679,0.0002666999935172498,0.0067666664512621025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,artificial_log.xes,0.4,1,org:group,manipulated,insertion,0.2,2,0.25,0.7096774193548387,0.7428571428571429,-0.03317972350230414,4,4,0,25,29,0.16,4,6,0.6666666666666666,35,26,9,0.7428571428571429,0.7428571428571429,0,8,1,1.0,0.2571428571428571,29,133,0,3.8,4,4,16,8.399999933317304e-05,0.0002564000023994595,0.0003404000017326325,0.007325714354270271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,artificial_log.xes,0.4,1,org:group,baseline,none,0.0,2,0.25,0.44463818657367044,0.44463818657367044,0.0,0,0,0,25,25,0.0,0,6,0.0,25,,20,0.44463818657367044,0.2,,,,0.4734432234432235,0.028805036869553047,25,36,7,,,,,0.0007415000000037253,0.0009610999986762181,0.0017025999986799434,0.038443999947048724,token_replay,distributed,alpha,alpha,{},3,4,9,4,0,4,4,0,[],0,[],1.0,4,2,3,9,1,1,4,5,0,37,31,22,16,5,7,24,25
