approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,Hospital_log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.8121470724175581,0.8121470724175581,0.0,0,0,0,148155,148155,0.0,0,1132,0.0,149287,121243,28044,0.8121470724175581,0.8121470724175581,853,26967,224,1.0,0.18785292758244188,148155,5140379,235700,34.43286421456657,15,145,447,0.002533199993195012,1.280645499995444,1.283178699988639,0.008578412721773792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.8121470724175581,0.8085278099927432,0.0036192624248149174,1840,0,1840,148155,146315,0.012419425601565927,1007,1132,0.8895759717314488,147447,119215,28232,0.8085278099927432,0.8085278099927432,837,27159,236,1.0,0.1914721900072568,146315,5074125,232458,34.41321288327331,15,145,447,0.002533199993195012,1.2708012999792118,1.2733344999724068,0.008618698922183643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.8121470724175581,0.7928885242430659,0.01925854817449224,1849,1849,0,148155,150004,0.01248017279200837,1022,1132,0.9028268551236749,151136,119834,31302,0.7928885242430659,0.7928885242430659,1209,29806,287,1.0,0.20711147575693412,150004,5908989,234058,39.097164143552824,15,145,447,0.002533199993195012,1.4423871000180952,1.4449203000112902,0.009543636856990362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Hospital_log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.3336855686868062,0.3336855686868062,0.0,0,0,0,148155,148155,0.0,0,1132,0.0,148155,,43672,0.3336855686868062,0.7052276332219635,,,,0.35490930020550376,0.021223731518697553,148155,22088,46461,,,,,0.03072829998563975,6.046601100009866,6.077329399995506,0.04081266983908654,token_replay,distributed,alpha,alpha,{},55,132,166,132,0,132,132,0,[],0,[],1.0,15,0,28,93,1,61,145,104483,7562,69681,93422,43045,66786,104483,46461,22088,148155
distributed_tbr,Hospital_log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.3336855686868062,0.332160294663164,0.0015252740236422202,1840,0,1840,148155,146315,0.012419425601565927,1007,1132,0.8895759717314488,146315,,43071,0.332160294663164,0.7056282677784232,,,,0.35490930020550376,0.022749005542339773,146315,21837,45742,,,,,0.03072829998563975,6.475475900020683,6.506204200006323,0.04425708847364032,token_replay,distributed,alpha,alpha,{},55,132,166,132,0,132,132,0,[],0,[],1.0,15,0,28,93,1,61,145,103244,7444,68711,92112,42567,65968,103244,45742,21837,146315
distributed_tbr,Hospital_log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.3336855686868062,0.3333986037487678,0.0002869649380384254,1849,1849,0,148155,150004,0.01248017279200837,1022,1132,0.9028268551236749,150004,,45299,0.3333986037487678,0.6980147196074772,,,,0.35490930020550376,0.021510696456735978,150004,22167,46615,,,,,0.03072829998563975,6.136492399993585,6.167220699979225,0.04090885843039909,token_replay,distributed,alpha,alpha,{},55,132,166,132,0,132,132,0,[],0,[],1.0,15,0,28,93,1,61,145,104705,9057,69914,93668,43220,66974,104705,46615,22167,150004
checkmyflow,Hospital_log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.916463281684098,0.916463281684098,0.0,0,0,0,141091,141091,0.0,0,1086,0.0,142177,130300,11877,0.916463281684098,0.916463281684098,232,11499,146,1.0,0.08353671831590204,141091,5028809,224332,35.37005985496951,24,262,1046,0.010709900001529604,1.3363048999744933,1.347014799976023,0.009398882378827049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.05,1,org:group,manipulated,deletion,0.2,2,0.25,0.916463281684098,0.9128865024995372,0.0035767791845607855,1751,0,1751,141091,139340,0.012410430147918719,961,1086,0.8848987108655617,140426,128193,12233,0.9128865024995372,0.9128865024995372,230,11847,156,1.0,0.08711349750046282,139340,4966523,221280,35.367545896059134,24,262,1046,0.010709900001529604,1.3737673000141513,1.3844772000156809,0.009782855739066492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.05,1,org:group,manipulated,insertion,0.2,2,0.25,0.916463281684098,0.8947587758900912,0.021704505794006734,1797,1797,0,141091,142888,0.012736460865682432,993,1086,0.914364640883978,143974,128822,15152,0.8947587758900912,0.8947587758900912,364,14588,200,1.0,0.10524122410990877,142888,5594551,222628,38.85806465056191,24,262,1046,0.010709900001529604,1.6049390000116546,1.6156489000131842,0.011147422451356874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Hospital_log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.31837592459825165,0.31837592459825165,0.0,0,0,0,141091,141091,0.0,0,1086,0.0,141091,,50958,0.31837592459825165,0.6388288409607984,,,,0.33661287245441823,0.018236947856166585,141091,34452,77594,,,,,0.2544235000095796,13.497814300004393,13.752237800013972,0.09566743661895084,token_replay,distributed,alpha,alpha,{},143,230,518,230,0,230,230,0,[],0,[],1.0,24,0,66,235,1,96,262,90133,2597,113132,104280,78580,69728,90133,77594,34452,141091
distributed_tbr,Hospital_log.xes,0.05,1,org:group,manipulated,deletion,0.2,2,0.25,0.31837592459825165,0.3170654590838936,0.001310465514358039,1751,0,1751,141091,139340,0.012410430147918719,961,1086,0.8848987108655617,139340,,50286,0.3170654590838936,0.6391129611023396,,,,0.33661287245441823,0.019547413370524624,139340,34058,76312,,,,,0.2544235000095796,13.598537000012584,13.852960500022164,0.0975924860055446,token_replay,distributed,alpha,alpha,{},143,230,518,230,0,230,230,0,[],0,[],1.0,24,0,66,235,1,96,262,89054,2571,111456,102607,77578,68729,89054,76312,34058,139340
distributed_tbr,Hospital_log.xes,0.05,1,org:group,manipulated,insertion,0.2,2,0.25,0.31837592459825165,0.31743752736252845,0.0009383972357231984,1797,1797,0,141091,142888,0.012736460865682432,993,1086,0.914364640883978,142888,,52424,0.31743752736252845,0.6331112479704384,,,,0.33661287245441823,0.019175345091889784,142888,34609,77976,,,,,0.2544235000095796,14.07157780000125,14.32600130001083,0.09847977296904745,token_replay,distributed,alpha,alpha,{},143,230,518,230,0,230,230,0,[],0,[],1.0,24,0,66,235,1,96,262,90464,3793,113671,104909,79034,70272,90464,77976,34609,142888
checkmyflow,Hospital_log.xes,0.075,1,org:group,baseline,none,0.0,2,0.25,0.9274897172886893,0.9274897172886893,0.0,0,0,0,137281,137281,0.0,0,1058,0.0,138339,128308,10031,0.9274897172886893,0.9274897172886893,232,9725,74,1.0,0.07251028271131066,137281,4882493,218138,35.293684355098705,24,293,1255,0.0699101000209339,1.3829440000117756,1.4528541000327095,0.009996776035765589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.075,1,org:group,manipulated,deletion,0.2,2,0.25,0.9274897172886893,0.9246483099849223,0.0028414073037670295,1713,0,1713,137281,135568,0.012478055958217087,941,1058,0.889413988657845,136626,126331,10295,0.9246483099849223,0.9246483099849223,231,9986,78,1.0,0.07535169001507769,135568,4821795,215114,35.29192832989329,24,293,1255,0.0699101000209339,2.0176720999879763,2.08758220000891,0.01476784872563038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.075,1,org:group,manipulated,insertion,0.2,2,0.25,0.9274897172886893,0.9055403659311398,0.021949351357549496,1742,1742,0,137281,139023,0.01268930150567085,963,1058,0.9102079395085066,140081,126849,13232,0.9055403659311398,0.9055403659311398,369,12716,147,1.0,0.09445963406886015,139023,5292722,216612,37.78329680684747,24,293,1255,0.0699101000209339,3.352381200005766,3.4222913000267,0.02393173378263837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Hospital_log.xes,0.075,1,org:group,baseline,none,0.0,2,0.25,0.29930536549021014,0.29930536549021014,0.0,0,0,0,137281,137281,0.0,0,1058,0.0,137281,,49196,0.29930536549021014,0.6416401395677479,,,,0.32400619337796066,0.02470082788775052,137281,36226,75866,,,,,4.087981200020295,20.087550700001884,24.17553190002218,0.14632433257334873,token_replay,distributed,alpha,alpha,{},165,255,669,255,0,255,255,0,[],0,[],1.0,24,0,65,307,1,100,293,88085,2113,113150,114715,79051,80616,88085,75866,36226,137281
distributed_tbr,Hospital_log.xes,0.075,1,org:group,manipulated,deletion,0.2,2,0.25,0.29930536549021014,0.29727350635466626,0.0020318591355438786,1713,0,1713,137281,135568,0.012478055958217087,941,1058,0.889413988657845,135568,,48526,0.29727350635466626,0.6420541720760061,,,,0.32400619337796066,0.0267326870232944,135568,35782,74707,,,,,4.087981200020295,18.83963639999274,22.927617600013036,0.13896816652892083,token_replay,distributed,alpha,alpha,{},165,255,669,255,0,255,255,0,[],0,[],1.0,24,0,65,307,1,100,293,87042,2081,111547,112935,78182,79570,87042,74707,35782,135568
distributed_tbr,Hospital_log.xes,0.075,1,org:group,manipulated,insertion,0.2,2,0.25,0.29930536549021014,0.2984204900184727,0.0008848754717374341,1742,1742,0,137281,139023,0.01268930150567085,963,1058,0.9102079395085066,139023,,50550,0.2984204900184727,0.6363911007531128,,,,0.32400619337796066,0.025585703359487955,139023,36434,76306,,,,,4.087981200020295,19.493298899993533,23.581280100013828,0.14021635916354513,token_replay,distributed,alpha,alpha,{},165,255,669,255,0,255,255,0,[],0,[],1.0,24,0,65,307,1,100,293,88473,3187,113798,115638,79566,81406,88473,76306,36434,139023
