approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,Hospital_log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.8121470724175581,0.8121470724175581,0.0,0,0,0,148155,148155,0.0,0,1132,0.0,149287,121243,28044,0.8121470724175581,0.8121470724175581,853,26967,224,1.0,0.18785292758244188,148155,5140379,235700,34.43286421456657,15,145,447,0.0024803999986033887,1.5680090000096243,1.5704894000082277,0.010503319110234811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.8121470724175581,0.8085278099927432,0.0036192624248149174,1840,0,1840,148155,146315,0.012419425601565927,1007,1132,0.8895759717314488,147447,119215,28232,0.8085278099927432,0.8085278099927432,837,27159,236,1.0,0.1914721900072568,146315,5074125,232458,34.41321288327331,15,145,447,0.0024803999986033887,1.4615829000249505,1.464063300023554,0.009912598425366067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.8121470724175581,0.7928885242430659,0.01925854817449224,1849,1849,0,148155,150004,0.01248017279200837,1022,1132,0.9028268551236749,151136,119834,31302,0.7928885242430659,0.7928885242430659,1209,29806,287,1.0,0.20711147575693412,150004,5908989,234058,39.097164143552824,15,145,447,0.0024803999986033887,1.747099200001685,1.7495796000002883,0.011559781918283434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Hospital_log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.789420446788363,0.789420446788363,0.0,0,0,0,148155,148155,0.0,0,1132,0.0,148155,,43951,0.789420446788363,0.7033444703182478,,,,0.8092670974956013,0.019846650707238345,148155,6773,197584,,,,,0.21451150000211783,17.88413409999339,18.098645599995507,0.12071232223005222,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",86,127,275,64,63,132,64,68,"[""1e consult      bezoek"", ""amylase"", ""anesthesie  - bij behandeling met radium"", ""behandeltijd - eenheid t1 - megavolt"", ""bloedgroepantigenen andere dan abo-rhesu"", ""brachytherapie - interstitieel - intensi"", ""buik        - primaire stageringsoperati"", ""buik        - punctie ascites ontlastend"", ""buik        - stageringslaparotom.-oment"", ""buikoverzicht"", ""cde fenotypering"", ""cefalinetijd - coagulatie"", ""cito histologisch onderzoek"", ""clostridium elisa-test"", ""coupe ter inzage"", ""creatinine - spoed"", ""crp c-reactief proteine"", ""ct a.pulmonalis"", ""ct abdomen"", ""ct thorax"", ""cytologisch onderzoek - ascites -"", ""cytologisch onderzoek - ectocervix -"", ""cytologisch onderzoek - lymfeklierpuncti"", ""cytologisch onderzoek - vulva -"", ""diagnostische punctie onder echocontrole"", ""dieet nno"", ""duplexscan - venen been"", ""echo mamma"", ""echografie  - blaas - extern"", ""echografie  - genitalia interna"", ""fdp - dimeer - immunologisch"", ""fosfaat"", ""histologisch onderzoek - grote resectiep"", ""histologisch onderzoek - kleine resectie"", ""immunopathologisch onderzoek"", ""international normalised ratio mbv tromb"", ""inwend.geneesk.  korte kaart kosten-out"", ""klinische kaart - anesthesie"", ""klinische kaart - inwendige geneeskunde"", ""leucocyten tellen -electronisch- spoed"", ""lymf.syst.  - sentinel node procedure li"", ""lymfeklier - scint sentinel node dynamis"", ""lymfeklier - scint sentinel node met pro"", ""lymfeklier - scint sentinel node vervolg"", ""magnesium  -aas"", ""mammografie thoraxwand"", ""mri abdomen"", ""orthopantomogram 'panoramixopname' gebit"", ""protrombinetijd"", ""punctie tbv cytologisch onderzoek door p"", ""sediment"", ""sediment - spoed"", ""simulator - gebruik voor aanvang megavol"", ""squamous cell carcinoma mbv eia"", ""thorax - op zaal"", ""totaal eiwit"", ""totale gebitsstatus"", ""trombocyten tellen - spoed"", ""ureum - spoed"", ""urinezuur met uricase u.v. spectrofotome"", ""uterus      - carc. cervix vlgs. werthei"", ""vagina      - toucher onder anesthesie"", ""verlosk.-gynaec. korte kaart kosten-out"", ""vriescoupe"", ""vrw.gesl.org- adhesiolysis ovaria-tubae"", ""vulva       - radicale vulvect. znd ingu"", ""vulva       - ruime lokale excisie van a"", ""vulva       - vulvectomie - liesblok""]",0,[],0.48484848484848486,10,2,60,110,1,85,138,104204,18999,136897,142480,25495,33472,104204,197584,6773,148155
distributed_tbr,Hospital_log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.789420446788363,0.7865166323396731,0.002903814448689923,1840,0,1840,148155,146315,0.012419425601565927,1007,1132,0.8895759717314488,146315,,43773,0.7865166323396731,0.7008304001640296,,,,0.8092670974956013,0.022750465155928268,146315,6721,195023,,,,,0.21451150000211783,16.413756699999794,16.628268200001912,0.11218095683969377,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",86,127,275,64,63,132,64,68,"[""1e consult      bezoek"", ""amylase"", ""anesthesie  - bij behandeling met radium"", ""behandeltijd - eenheid t1 - megavolt"", ""bloedgroepantigenen andere dan abo-rhesu"", ""brachytherapie - interstitieel - intensi"", ""buik        - primaire stageringsoperati"", ""buik        - punctie ascites ontlastend"", ""buik        - stageringslaparotom.-oment"", ""buikoverzicht"", ""cde fenotypering"", ""cefalinetijd - coagulatie"", ""cito histologisch onderzoek"", ""clostridium elisa-test"", ""coupe ter inzage"", ""creatinine - spoed"", ""crp c-reactief proteine"", ""ct a.pulmonalis"", ""ct abdomen"", ""ct thorax"", ""cytologisch onderzoek - ascites -"", ""cytologisch onderzoek - ectocervix -"", ""cytologisch onderzoek - lymfeklierpuncti"", ""cytologisch onderzoek - vulva -"", ""diagnostische punctie onder echocontrole"", ""dieet nno"", ""duplexscan - venen been"", ""echo mamma"", ""echografie  - blaas - extern"", ""echografie  - genitalia interna"", ""fdp - dimeer - immunologisch"", ""fosfaat"", ""histologisch onderzoek - grote resectiep"", ""histologisch onderzoek - kleine resectie"", ""immunopathologisch onderzoek"", ""international normalised ratio mbv tromb"", ""inwend.geneesk.  korte kaart kosten-out"", ""klinische kaart - anesthesie"", ""klinische kaart - inwendige geneeskunde"", ""leucocyten tellen -electronisch- spoed"", ""lymf.syst.  - sentinel node procedure li"", ""lymfeklier - scint sentinel node dynamis"", ""lymfeklier - scint sentinel node met pro"", ""lymfeklier - scint sentinel node vervolg"", ""magnesium  -aas"", ""mammografie thoraxwand"", ""mri abdomen"", ""orthopantomogram 'panoramixopname' gebit"", ""protrombinetijd"", ""punctie tbv cytologisch onderzoek door p"", ""sediment"", ""sediment - spoed"", ""simulator - gebruik voor aanvang megavol"", ""squamous cell carcinoma mbv eia"", ""thorax - op zaal"", ""totaal eiwit"", ""totale gebitsstatus"", ""trombocyten tellen - spoed"", ""ureum - spoed"", ""urinezuur met uricase u.v. spectrofotome"", ""uterus      - carc. cervix vlgs. werthei"", ""vagina      - toucher onder anesthesie"", ""verlosk.-gynaec. korte kaart kosten-out"", ""vriescoupe"", ""vrw.gesl.org- adhesiolysis ovaria-tubae"", ""vulva       - radicale vulvect. znd ingu"", ""vulva       - ruime lokale excisie van a"", ""vulva       - vulvectomie - liesblok""]",0,[],0.48484848484848486,10,2,60,110,1,85,138,102542,18761,135225,140772,25596,33459,102542,195023,6721,146315
distributed_tbr,Hospital_log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.789420446788363,0.7886797936767991,0.0007406531115639048,1849,1849,0,148155,150004,0.01248017279200837,1022,1132,0.9028268551236749,150004,,45731,0.7886797936767991,0.6951347964054292,,,,0.8092670974956013,0.02058730381880225,150004,6825,197753,,,,,0.21451150000211783,16.150892200006638,16.365403700008756,0.10766974347355161,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",86,127,275,64,63,132,64,68,"[""1e consult      bezoek"", ""amylase"", ""anesthesie  - bij behandeling met radium"", ""behandeltijd - eenheid t1 - megavolt"", ""bloedgroepantigenen andere dan abo-rhesu"", ""brachytherapie - interstitieel - intensi"", ""buik        - primaire stageringsoperati"", ""buik        - punctie ascites ontlastend"", ""buik        - stageringslaparotom.-oment"", ""buikoverzicht"", ""cde fenotypering"", ""cefalinetijd - coagulatie"", ""cito histologisch onderzoek"", ""clostridium elisa-test"", ""coupe ter inzage"", ""creatinine - spoed"", ""crp c-reactief proteine"", ""ct a.pulmonalis"", ""ct abdomen"", ""ct thorax"", ""cytologisch onderzoek - ascites -"", ""cytologisch onderzoek - ectocervix -"", ""cytologisch onderzoek - lymfeklierpuncti"", ""cytologisch onderzoek - vulva -"", ""diagnostische punctie onder echocontrole"", ""dieet nno"", ""duplexscan - venen been"", ""echo mamma"", ""echografie  - blaas - extern"", ""echografie  - genitalia interna"", ""fdp - dimeer - immunologisch"", ""fosfaat"", ""histologisch onderzoek - grote resectiep"", ""histologisch onderzoek - kleine resectie"", ""immunopathologisch onderzoek"", ""international normalised ratio mbv tromb"", ""inwend.geneesk.  korte kaart kosten-out"", ""klinische kaart - anesthesie"", ""klinische kaart - inwendige geneeskunde"", ""leucocyten tellen -electronisch- spoed"", ""lymf.syst.  - sentinel node procedure li"", ""lymfeklier - scint sentinel node dynamis"", ""lymfeklier - scint sentinel node met pro"", ""lymfeklier - scint sentinel node vervolg"", ""magnesium  -aas"", ""mammografie thoraxwand"", ""mri abdomen"", ""orthopantomogram 'panoramixopname' gebit"", ""protrombinetijd"", ""punctie tbv cytologisch onderzoek door p"", ""sediment"", ""sediment - spoed"", ""simulator - gebruik voor aanvang megavol"", ""squamous cell carcinoma mbv eia"", ""thorax - op zaal"", ""totaal eiwit"", ""totale gebitsstatus"", ""trombocyten tellen - spoed"", ""ureum - spoed"", ""urinezuur met uricase u.v. spectrofotome"", ""uterus      - carc. cervix vlgs. werthei"", ""vagina      - toucher onder anesthesie"", ""verlosk.-gynaec. korte kaart kosten-out"", ""vriescoupe"", ""vrw.gesl.org- adhesiolysis ovaria-tubae"", ""vulva       - radicale vulvect. znd ingu"", ""vulva       - ruime lokale excisie van a"", ""vulva       - vulvectomie - liesblok""]",0,[],0.48484848484848486,10,2,60,110,1,85,138,104273,20647,137098,142698,25631,33632,104273,197753,6825,150004
checkmyflow,Hospital_log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.916463281684098,0.916463281684098,0.0,0,0,0,141091,141091,0.0,0,1086,0.0,142177,130300,11877,0.916463281684098,0.916463281684098,232,11499,146,1.0,0.08353671831590204,141091,5028809,224332,35.37005985496951,24,262,1046,0.012918499996885657,1.7237904000212438,1.7367089000181295,0.012124256384796724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.05,1,org:group,manipulated,deletion,0.2,2,0.25,0.916463281684098,0.9128865024995372,0.0035767791845607855,1751,0,1751,141091,139340,0.012410430147918719,961,1086,0.8848987108655617,140426,128193,12233,0.9128865024995372,0.9128865024995372,230,11847,156,1.0,0.08711349750046282,139340,4966523,221280,35.367545896059134,24,262,1046,0.012918499996885657,1.534982699988177,1.5479011999850627,0.01093090097267014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Hospital_log.xes,0.05,1,org:group,manipulated,insertion,0.2,2,0.25,0.916463281684098,0.8947587758900912,0.021704505794006734,1797,1797,0,141091,142888,0.012736460865682432,993,1086,0.914364640883978,143974,128822,15152,0.8947587758900912,0.8947587758900912,364,14588,200,1.0,0.10524122410990877,142888,5594551,222628,38.85806465056191,24,262,1046,0.012918499996885657,1.7210087999992538,1.7339272999961395,0.01195360829038058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Hospital_log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.7525416953176571,0.7525416953176571,0.0,0,0,0,141091,141091,0.0,0,1086,0.0,141091,,32507,0.7525416953176571,0.7696025969055432,,,,0.7639968921872187,0.011455196869561535,141091,18419,252590,,,,,0.7400592000049073,59.28919890001998,60.02925810002489,0.4202195668045445,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",197,335,782,102,233,230,102,128,"[""1-25-oh2-vitamine d mbv hplc"", ""albumine - spoed"", ""alfa-amylase"", ""alkalische fosfatase - kinetisch - spoed"", ""anesthesie  - bij behandeling met radium"", ""anti-hepatitis-c-virus mbv elisa"", ""anti-hiv mbv elisa"", ""behandeltijd - eenheid t1 - megavolt"", ""behandeltijd - eenheid t4 - megavolt"", ""bezinkingssnelheid foto-elektrisch"", ""bilirubine kwantitatief totaal of direct"", ""blaas       - cystoscopie"", ""brachytherapie - interstitieel - intensi"", ""brain natriuretic peptide -bnp- mbv immu"", ""buik        - primaire stageringsoperati"", ""buik        - punctie ascites ontlastend"", ""buik        - second-look-oper.stagering"", ""ca 15.3 - tumormarker mbv meia"", ""ca-19.9 tumormarker"", ""cervix      - conisatie"", ""cito histologisch onderzoek"", ""clostridium elisa-test"", ""creatine fosfokinase isoenzym ckmb"", ""creatinefosfokinase -kinetisch-"", ""ct a.pulmonalis"", ""ct bovenbuik"", ""ct hersenen"", ""cytologisch onderzoek - ascites -"", ""cytologisch onderzoek - ectocervix -"", ""cytologisch onderzoek - lymfeklierpuncti"", ""cytologisch onderzoek - vulva -"", ""darm - colonpassage scint.comp.statisch"", ""darm - colonpassage scint.comp.vervolg"", ""diagnostische punctie onder echocontrole"", ""differentiatie leukocyten - handmatig"", ""dikke darm  - sigmoidoscopie met flexibe"", ""duplexscan - venen been"", ""echo abdomen"", ""echo bovenbuik"", ""echo mamma"", ""echografie  - blaas - extern"", ""erytrocyten leukocyten verwijderd bestra"", ""fdp - dimeer - immunologisch"", ""ferritine kwn mbv chemieluminescentie"", ""fibrinogeen"", ""foliumzuur mbv radioisotopen"", ""gamma glutamyltranspeptidase - spoed"", ""gentamycine kwn - immuno-assay"", ""hematocriet - spoed"", ""heparinebepaling - kaoline - cefalinetij"", ""hepatitis-c-virus roche -hcvr- mbv pcr"", ""histologisch onderzoek - kleine resectie"", ""huidplastiek- z-plastiek huid hoofd en h"", ""hyperthermie"", ""ijzer"", ""infuus      - bloed"", ""interc.consult klinisch  anesthesie"", ""inwend.geneesk.  korte kaart kosten-out"", ""itraconazol mbv hplc"", ""klinische kaart - inwendige geneeskunde"", ""knie - m-z onderbeen"", ""longfunctie - co2 - capnografie"", ""longfunctie - spirometrie"", ""longfunctie - stroomvolume curve"", ""lymf.syst.  - lymfadenectomie dmv laparo"", ""lymf.syst.  - sentinel node procedure li"", ""lymfeklier - scint sentinel node dynamis"", ""lymfeklier - scint sentinel node met pro"", ""lymfeklier - scint sentinel node vervolg"", ""maag - ontledig.-scint vast-vloeib.voeds"", ""magnesium  -aas - spoed"", ""melkzuur dehydrogenase - spoed"", ""mri wervelkolom - lumbaal"", ""nieren - renografie lasix"", ""orthopantomogram 'panoramixopname' gebit"", ""osmolaliteit"", ""ovarium     - redebulking ovarium carcin"", ""parathormoon mbv radioisotopen"", ""patient niet verschenen radiologie"", ""perif.vaten - doppler-onderz.oppervl.ven"", ""perif.vaten - duplexonderzoek - veneus"", ""perif.vaten - duplexscan arterieel cruro"", ""perif.vaten - verwijderen port-a-cath"", ""protrombinetijd -quick owren of modif.-"", ""punctie tbv cytologisch onderzoek door p"", ""rib-sternum"", ""sacrum-os coccygis-s.i.gewrichten"", ""sgot asat kinetisch - spoed"", ""sgpt alat kinetisch - spoed"", ""simulator - gebruik voor aanvang megavol"", ""skelet - scintigrafie totale lichaam"", ""thorax - op zaal"", ""toegangschir- c.v.d.-katheter perifeer b"", ""totaal eiwit"", ""totaal eiwit colorimetrisch - spoed"", ""totale gebitsstatus"", ""trombotest"", ""troponine-t mbv elisa"", ""tsh enzym-immunologisch"", ""ureum - spoed"", ""urinezuur met uricase u.v. spectrofotome"", ""uterus      - carc. cervix vlgs. werthei"", ""uterus      - extirpatie abdominaal radi"", ""uterus      - hysteroscopie"", ""vagina      - scopie excl.weefselwegname"", ""vaten       - venapunctie"", ""verlosk.-gynaec.  aanv.kaart kosten-out"", ""vitamine a"", ""vitamine b1 - thiamine"", ""vitamine b12 mbv chemieluminescentie"", ""vitamine b2"", ""vitamine b6"", ""vitamine d3"", ""vitamine e -hplc-methode"", ""vrij t4 mbv ria -ft 4"", ""vrw.gesl.org- adhesiolysis ovaria-tubae"", ""vrw.gesl.org- adnex-extirpatie dmv lapar"", ""vrw.gesl.org- biopsie-punctie-cytologie"", ""vrw.gesl.org- curettage gefractioneerd"", ""vrw.gesl.org- exc.destruct.path.afwijkin"", ""vulva       - biopsie-punctie-cytologie"", ""vulva       - radicale vulvect. znd ingu"", ""vulva       - ruime lokale excisie van a"", ""vulva       - vulvectomie - liesblok"", ""vulva       - vulvectomie zonder lieskli"", ""wervelkolom - lumbaal"", ""wormeieren - uitgebreid -vervolg-"", ""zink""]",0,[],0.4434782608695652,18,2,139,272,1,227,366,108584,6947,142187,135816,27951,40519,108584,252590,18419,141091
