approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,Sepsis Cases - Event Log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.8402071504336432,0.8402071504336432,0.0,0,0,0,14987,14987,0.0,0,1040,0.0,16027,13466,2561,0.8402071504336432,0.8402071504336432,556,1694,311,1.0,0.15979284956635675,14987,371230,13968,23.162787795594934,14,20,54,0.0004990999950678088,0.10696619999362156,0.10746529998868937,0.006674124913809295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Sepsis Cases - Event Log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.8402071504336432,0.8069176274482567,0.033289522985386566,1629,0,1629,14987,13358,0.10869420164142257,940,1040,0.9038461538461539,14398,11618,2780,0.8069176274482567,0.8069176274482567,489,1932,359,1.0,0.19308237255174332,13358,325653,12318,22.617933046256425,14,20,54,0.0004990999950678088,0.08344949999445817,0.08394859998952597,0.005795909153664271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Sepsis Cases - Event Log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.8402071504336432,0.7233536999321113,0.11685345050153195,1649,1649,0,14987,16636,0.11002869153266163,950,1040,0.9134615384615384,17676,12786,4890,0.7233536999321113,0.7233536999321113,1196,3307,387,1.0,0.2766463000678887,16636,431290,13074,24.399751074903826,14,20,54,0.0004990999950678088,0.15872469999885652,0.15922379999392433,0.008979673002877152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Sepsis Cases - Event Log.xes,0.01,1,org:group,baseline,none,0.0,2,0.25,0.8102208965643011,0.8102208965643011,0.0,0,0,0,14987,14987,0.0,0,1040,0.0,14987,,3429,0.8102208965643011,0.7712017081470608,,,,0.8671065122460604,0.056885615681759316,14987,5753,13299,,,,,0.008088599999609869,0.5369439999994938,0.5450325999991037,0.03582731700803989,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",12,19,38,10,9,13,10,3,"[""Admission IC"", ""Release B"", ""Return ER""]",0,[],0.7692307692307693,11,2,6,29,1,9,25,11558,1068,14853,14959,2776,2882,11558,13299,5072,14987
distributed_tbr,Sepsis Cases - Event Log.xes,0.01,1,org:group,manipulated,deletion,0.2,2,0.25,0.8102208965643011,0.7683853523280464,0.041835544236254685,1629,0,1629,14987,13358,0.10869420164142257,940,1040,0.9038461538461539,13358,,3517,0.7683853523280464,0.7367120826471029,,,,0.8671065122460604,0.098721159918014,13358,5067,11952,,,,,0.008088599999609869,0.549268699993263,0.5573572999928729,0.041119082197429484,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",12,19,38,10,9,13,10,3,"[""Admission IC"", ""Release B"", ""Return ER""]",0,[],0.7692307692307693,11,2,6,29,1,9,25,9841,949,13353,13449,3056,3152,9841,11952,4473,13358
distributed_tbr,Sepsis Cases - Event Log.xes,0.01,1,org:group,manipulated,insertion,0.2,2,0.25,0.8102208965643011,0.8013737070440352,0.008847189520265863,1649,1649,0,14987,16636,0.11002869153266163,950,1040,0.9134615384615384,16636,,4711,0.8013737070440352,0.7168189468622265,,,,0.8671065122460604,0.06573280520202518,16636,6809,13381,,,,,0.008088599999609869,0.5886243000059039,0.5967129000055138,0.0353825619142765,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",12,19,38,10,9,13,10,3,"[""Admission IC"", ""Release B"", ""Return ER""]",0,[],0.7692307692307693,11,2,6,29,1,9,25,11925,2097,15478,15579,3034,3135,11925,13381,5867,16636
checkmyflow,Sepsis Cases - Event Log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.9350666233344166,0.9350666233344166,0.0,0,0,0,14387,14387,0.0,0,998,0.0,15385,14386,999,0.9350666233344166,0.9350666233344166,75,776,148,1.0,0.06493337666558341,14387,359168,13444,23.345336366590836,22,32,112,0.0009041000012075529,0.08990429999539629,0.09080839999660384,0.005843633408865537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Sepsis Cases - Event Log.xes,0.05,1,org:group,manipulated,deletion,0.2,2,0.25,0.9350666233344166,0.9060465789093013,0.0290200444251153,1559,0,1559,14387,12828,0.10836171543754779,901,998,0.9028056112224448,13826,12527,1299,0.9060465789093013,0.9060465789093013,63,1041,195,1.0,0.09395342109069871,12828,311782,11860,22.550412266743816,22,32,112,0.0009041000012075529,0.07763230000273325,0.0785364000039408,0.005614950094223437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Sepsis Cases - Event Log.xes,0.05,1,org:group,manipulated,insertion,0.2,2,0.25,0.9350666233344166,0.8335589429698076,0.101507680364609,1606,1606,0,14387,15993,0.11162855355529297,922,998,0.9238476953907816,16991,14163,2828,0.8335589429698076,0.8335589429698076,242,2370,216,1.0,0.1664410570301924,15993,416695,12684,24.52445412277088,22,32,112,0.0009041000012075529,0.09937660000286996,0.10028070000407752,0.005848778765397561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Sepsis Cases - Event Log.xes,0.05,1,org:group,baseline,none,0.0,2,0.25,0.8758402538407632,0.8758402538407632,0.0,0,0,0,14387,14387,0.0,0,998,0.0,14387,,2113,0.8758402538407632,0.8531312990894557,,,,0.8978920173114582,0.02205176347069493,14387,8644,17509,,,,,0.01679389999480918,1.0469533999930718,1.063747299987881,0.07277079307660192,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",18,35,74,12,23,14,12,2,"[""Release B"", ""Release C""]",0,[],0.8571428571428571,22,2,8,60,1,15,53,12274,194,15826,15191,2088,1768,12274,17509,6208,14387
