approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,baseline,none,0.0,2,0.25,0.997918328078306,0.997918328078306,0.0,0,0,0,555855,555855,0.0,0,148867,0.0,704722,703255,1467,0.997918328078306,0.997918328078306,0,1467,0,1.0,0.0020816719216939505,555855,6364008,8518,9.030522674189255,11,11,36,0.014566800004104152,7.5090368000019225,7.523603600006027,0.01065531769974816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,deletion,0.2,2,0.25,0.997918328078306,0.8813118484627527,0.11660647961555337,80717,0,80717,555855,475138,0.14521233055383148,80135,148867,0.5382992872832797,624005,549943,74062,0.8813118484627527,0.8813118484627527,0,52393,21669,1.0,0.11868815153724732,475138,5396594,7328,8.648318523088758,11,11,36,0.014566800004104152,8.084873599997081,8.099440400001185,0.012956424387620423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,insertion,0.2,2,0.25,0.997918328078306,0.8276902938051502,0.1702280342731558,94345,94345,0,555855,650200,0.16972951579098866,93747,148867,0.6297366105315483,799067,661380,137687,0.8276902938051502,0.8276902938051502,0,130229,7458,1.0,0.17230970619484975,650200,7470210,34456,9.348665381000592,11,11,36,0.014566800004104152,9.030191000005289,9.044757800009393,0.011300918446144427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,baseline,none,0.0,2,0.25,0.9092906684249519,0.9092906684249519,0.0,0,0,0,555855,555855,0.0,0,148867,0.0,555855,,68255,0.9092906684249519,0.8772071853271087,,,,0.9095045800301051,0.0002139116051532719,555855,443937,414173,,,,,0.10483189999649767,68.15078319999884,68.25561509999534,0.12260532548955905,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",15,24,53,10,14,11,10,1,"[""Appeal to Judge""]",0,[],0.9090909090909091,10,2,3,24,1,4,24,487600,552,712423,704170,68404,60138,487600,414173,334550,555855
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9092906684249519,0.8097025972516572,0.09958807117329471,80717,0,80717,555855,475138,0.14521233055383148,80135,148867,0.5382992872832797,475138,,101461,0.8097025972516572,0.7864599337455644,,,,0.9095045800301051,0.09980198277844798,475138,371584,351481,,,,,0.10483189999649767,63.82997649999743,63.934808399993926,0.1343398686276354,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",15,24,53,10,14,11,10,1,"[""Appeal to Judge""]",0,[],0.9090909090909091,10,2,3,24,1,4,24,373677,493,630682,623512,123196,115510,373677,351481,279778,475138
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9092906684249519,0.8171222724618172,0.09216839596313464,94345,94345,0,555855,650200,0.16972951579098866,93747,148867,0.6297366105315483,650200,,154434,0.8171222724618172,0.7624823131344202,,,,0.9095045800301051,0.09238230756828791,650200,524476,447645,,,,,0.10483189999649767,77.56252069999755,77.66735259999405,0.11929025023069448,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",15,24,53,10,14,11,10,1,"[""Appeal to Judge""]",0,[],0.9090909090909091,10,2,3,24,1,4,24,495766,9136,815402,789931,161391,132572,495766,447645,413679,650200
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,baseline,none,0.0,2,0.25,0.9995593690993534,0.9995593690993534,0.0,0,0,0,533451,533451,0.0,0,142852,0.0,676303,676005,298,0.9995593690993534,0.9995593690993534,0,298,0,1.0,0.00044063090064661026,533451,6107496,8212,9.030709607971575,11,11,47,0.07386020000558347,6.428794499996002,6.502654700001585,0.009505790304044196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9995593690993534,0.8838242754348726,0.11573509366448076,77047,0,77047,533451,456404,0.14443125985329486,76505,142852,0.5355542799540783,599256,529637,69619,0.8838242754348726,0.8838242754348726,0,48927,20692,1.0,0.11617572456512737,456404,5184066,7078,8.65083703792703,11,11,47,0.07386020000558347,6.24440930000128,6.318269500006863,0.010420269968095905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9995593690993534,0.8370869235775199,0.1624724455218335,90474,90474,0,533451,623925,0.16960133170619232,89855,142852,0.629007644275194,766777,641859,124918,0.8370869235775199,0.8370869235775199,0,117651,7267,1.0,0.1629130764224801,623925,7168472,32924,9.348835450202602,11,11,47,0.07386020000558347,7.573311600004672,7.6471718000102555,0.009876811119797114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,baseline,none,0.0,2,0.25,0.908212805950597,0.908212805950597,0.0,0,0,0,533451,533451,0.0,0,142852,0.0,533451,,65249,0.908212805950597,0.8776851107224468,,,,0.9085848779501595,0.0003720719995625732,533451,425644,394446,,,,,0.39744010000140406,76.66642449999927,77.06386460000067,0.14371783818944808,token_replay,distributed,heuristics,heuristics,"{""dependency_threshold"": 0.8}",16,28,60,11,17,11,11,0,[],0,[],1.0,11,1,3,25,1,5,28,468202,0,683291,676303,65913,58913,468202,394446,320278,533451
