approach,dataset,training_split,random_seed,location_key,scenario,manipulation_type,manipulation_probability,max_manipulations_per_trace,max_manipulations_per_trace_pct,baseline_score,manipulated_score,score_drop,manipulated_events,inserted_events,deleted_events,original_events,resulting_events,manipulated_events_pct,manipulated_traces,total_traces,manipulated_traces_pct,total_events,matches,mismatches,generalization,exact_pct,unknown_node,invalid_predecessor,invalid_end,fitness,fitness_generalization_gap,route_calls,remote_calls,local_calls,requests_per_event,nodes,activities,matrix_entries,training_time_s,checking_time_s,elapsed_s,avg_event_time_ms,method,strategy,discovery_algorithm,requested_discovery_algorithm,discovery_parameters,places,transitions,arcs,labeled_transitions,silent_transitions,training_activities,model_activities,missing_training_activities,missing_training_activity_names,extra_model_activities,extra_model_activity_names,activity_coverage,participants,participant_places_min,participant_places_max,participant_places_total,participant_transitions_min,participant_transitions_max,participant_transitions_total,matched_events,unknown_activities,consumed_tokens,produced_tokens,missing_tokens,remaining_tokens,exact_count,local_token_checks,remote_token_checks,total_compute
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,baseline,none,0.0,2,0.25,0.997918328078306,0.997918328078306,0.0,0,0,0,555855,555855,0.0,0,148867,0.0,704722,703255,1467,0.997918328078306,0.997918328078306,0,1467,0,1.0,0.0020816719216939505,555855,6364008,8518,9.030522674189255,11,11,36,0.009373599998070858,4.457107899994298,4.466481499992369,0.0063246328339321015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,deletion,0.2,2,0.25,0.997918328078306,0.8813118484627527,0.11660647961555337,80717,0,80717,555855,475138,0.14521233055383148,80135,148867,0.5382992872832797,624005,549943,74062,0.8813118484627527,0.8813118484627527,0,52393,21669,1.0,0.11868815153724732,475138,5396594,7328,8.648318523088758,11,11,36,0.009373599998070858,4.321596900001168,4.330970499999239,0.006925580564260171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,insertion,0.2,2,0.25,0.997918328078306,0.8276902938051502,0.1702280342731558,94345,94345,0,555855,650200,0.16972951579098866,93747,148867,0.6297366105315483,799067,661380,137687,0.8276902938051502,0.8276902938051502,0,130229,7458,1.0,0.17230970619484975,650200,7470210,34456,9.348665381000592,11,11,36,0.009373599998070858,5.376113700003771,5.3854873000018415,0.006727988641758164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,baseline,none,0.0,2,0.25,0.999725197951778,0.999725197951778,0.0,0,0,0,555855,555855,0.0,0,148867,0.0,555855,,174,0.999725197951778,0.9996869687238579,,,,1.0,0.00027480204822194487,555855,898393,1037761,,,,,0.06534560000000056,66.42171280000184,66.48705840000184,0.11949467540995735,token_replay,distributed,inductive,inductive,{},19,28,60,11,17,11,11,0,[],0,[],1.0,11,2,5,25,1,7,28,555681,0,704722,853589,190,239,555681,1037761,521730,555855
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,deletion,0.2,2,0.25,0.999725197951778,0.9032741362511807,0.09645106170059736,80717,0,80717,555855,475138,0.14521233055383148,80135,148867,0.5382992872832797,475138,,45501,0.9032741362511807,0.9042362429441552,,,,1.0,0.09672586374881931,475138,754652,909346,,,,,0.06534560000000056,72.46018139999796,72.52552699999796,0.15250344405203953,token_replay,distributed,inductive,inductive,{},19,28,60,11,17,11,11,0,[],0,[],1.0,11,2,5,25,1,7,28,429637,0,624005,749618,58479,74764,429637,909346,439678,475138
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.01,1,concept:name,manipulated,insertion,0.2,2,0.25,0.999725197951778,0.8867777756777424,0.11294742227403565,94345,94345,0,555855,650200,0.16972951579098866,93747,148867,0.6297366105315483,650200,,84639,0.8867777756777424,0.8698262073208244,,,,1.0,0.11322222432225759,650200,924258,1074431,,,,,0.06534560000000056,76.50059969999711,76.56594529999711,0.11765702814518166,token_replay,distributed,inductive,inductive,{},19,28,60,11,17,11,11,0,[],0,[],1.0,11,2,5,25,1,7,28,565561,0,799067,956614,85629,114108,565561,1074431,555074,650200
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,baseline,none,0.0,2,0.25,0.9995593690993534,0.9995593690993534,0.0,0,0,0,533451,533451,0.0,0,142852,0.0,676303,676005,298,0.9995593690993534,0.9995593690993534,0,298,0,1.0,0.00044063090064661026,533451,6107496,8212,9.030709607971575,11,11,47,0.051349800000025425,4.189208299998427,4.240558099998452,0.006194277269209846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9995593690993534,0.8838242754348726,0.11573509366448076,77047,0,77047,533451,456404,0.14443125985329486,76505,142852,0.5355542799540783,599256,529637,69619,0.8838242754348726,0.8838242754348726,0,48927,20692,1.0,0.11617572456512737,456404,5184066,7078,8.65083703792703,11,11,47,0.051349800000025425,3.867116800000076,3.9184666000001016,0.006453196630488599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9995593690993534,0.8370869235775199,0.1624724455218335,90474,90474,0,533451,623925,0.16960133170619232,89855,142852,0.629007644275194,766777,641859,124918,0.8370869235775199,0.8370869235775199,0,117651,7267,1.0,0.1629130764224801,623925,7168472,32924,9.348835450202602,11,11,47,0.051349800000025425,4.908523199999763,4.959872999999789,0.006401500305825244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,baseline,none,0.0,2,0.25,0.9998873646241657,0.9998873646241657,0.0,0,0,0,533451,533451,0.0,0,142852,0.0,533451,,83,0.9998873646241657,0.9998444093271922,,,,1.0,0.00011263537583428018,533451,886252,1316338,,,,,0.1703964000043925,76.37082689999806,76.54122330000246,0.1431637149428871,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,5,28,1,8,35,533368,0,676303,819155,83,84,533368,1316338,432480,533451
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9998873646241657,0.8910062010296844,0.1088811635944813,77047,0,77047,533451,456404,0.14443125985329486,76505,142852,0.5355542799540783,456404,,53502,0.8910062010296844,0.8827749099482037,,,,1.0,0.10899379897031558,456404,716859,1140347,,,,,0.1703964000043925,83.12120300000242,83.29159940000682,0.1821219862227378,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,5,28,1,8,35,402902,0,599256,719987,65277,78520,402902,1140347,343313,456404
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.05,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9998873646241657,0.8957887584240302,0.10409860620013556,90474,90474,0,533451,623925,0.16960133170619232,89855,142852,0.629007644275194,623925,,73250,0.8957887584240302,0.8825980686781264,,,,1.0,0.10421124157596984,623925,965257,1416168,,,,,0.1703964000043925,87.77929869999934,87.94969510000374,0.14068886276395295,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,5,28,1,8,35,550675,0,766777,917880,73250,103622,550675,1416168,472553,623925
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,baseline,none,0.0,2,0.25,0.9997737270586546,0.9997737270586546,0.0,0,0,0,505486,505486,0.0,0,135333,0.0,640819,640674,145,0.9997737270586546,0.9997737270586546,0,145,0,1.0,0.00022627294134536236,505486,5787354,7812,9.03118353232348,11,11,52,0.10199629999988247,4.492319700002554,4.594316000002436,0.0070102785654023265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9997737270586546,0.8837020438506555,0.1160716832079991,73165,0,73165,505486,432321,0.14474189196139953,72649,135333,0.5368165931443181,567654,501637,66017,0.8837020438506555,0.8837020438506555,0,46198,19819,1.0,0.11629795614934446,432321,4910594,6592,8.650681577157917,11,11,52,0.10199629999988247,3.848607899999479,3.9506041999993613,0.006779848111700929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9997737270586546,0.8427166313748923,0.15705709568376236,85507,85507,0,505486,590993,0.1691579984411042,84947,135333,0.6276887381496014,726326,612087,114239,0.8427166313748923,0.8427166313748923,0,107416,6823,1.0,0.15728336862510772,590993,6790204,31046,9.348700170446879,11,11,52,0.10199629999988247,5.0001957999993465,5.102192099999229,0.006884230772407083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,baseline,none,0.0,2,0.25,0.9999380042087256,0.9999380042087256,0.0,0,0,0,505486,505486,0.0,0,135333,0.0,505486,,39,0.9999380042087256,0.999922846527896,,,,1.0,6.199579127441623e-05,505486,895216,1310315,,,,,0.6877514999941923,110.89694330000202,111.58469479999621,0.21938677490573827,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,6,29,1,8,35,505447,0,640819,776152,39,49,505447,1310315,541798,505486
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,deletion,0.2,2,0.25,0.9999380042087256,0.8978746531099855,0.1020633510987401,73165,0,73165,505486,432321,0.14474189196139953,72649,135333,0.5368165931443181,432321,,34193,0.8978746531099855,0.9209083065592465,,,,1.0,0.10212534689001451,432321,759222,1172254,,,,,0.6877514999941923,82.06420590000198,82.75195739999617,0.18982239100113568,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,6,29,1,8,35,398128,0,567654,681982,52334,76421,398128,1172254,440905,432321
distributed_tbr,Road_Traffic_Fine_Management_Process.xes,0.1,1,concept:name,manipulated,insertion,0.2,2,0.25,0.9999380042087256,0.8937178408805506,0.10622016332817497,85507,85507,0,505486,590993,0.1691579984411042,84947,135333,0.6276887381496014,590993,,66892,0.8937178408805506,0.8868142262260298,,,,1.0,0.10628215911944938,590993,946227,1380608,,,,,0.6877514999941923,89.16261189999932,89.85036339999351,0.15086915056523398,token_replay,distributed,inductive,inductive,{},27,35,80,11,24,11,11,0,[],0,[],1.0,11,2,6,29,1,8,35,524101,0,726326,869443,66892,104740,524101,1380608,565239,590993
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,baseline,none,0.0,2,0.25,0.999892958982233,0.999892958982233,0.0,0,0,0,449579,449579,0.0,0,120296,0.0,569875,569814,61,0.999892958982233,0.999892958982233,0,61,0,1.0,0.00010704101776704,449579,5147412,6944,9.032528186005703,11,11,59,0.1610558000029414,3.5363589999979013,3.6974148000008427,0.006205499451630447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmyflow,Road_Traffic_Fine_Management_Process.xes,0.2,1,concept:name,manipulated,deletion,0.2,2,0.25,0.999892958982233,0.884486135286651,0.11540682369558197,64888,0,64888,449579,384691,0.1443305848360355,64437,120296,0.5356537208219725,504987,446654,58333,0.884486135286651,0.884486135286651,0,40925,17408,1.0,0.11551386471334901,384691,4369798,5902,8.653288104446252,11,11,59,0.1610558000029414,3.5597246999968775,3.720780499999819,0.007049141265016481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
